codes,day,city,name,address,startTime,isAccessible
OSD,Sun,Abington,Early Bird Dawn Patrol,"United Ch., Rte. 18, 10 Bedford St.",7-8 am, 
Cl2,Sun,Acton,Acton,"St. Matthew's Ch., 435 Central St",7:30 p.m., 
OBB12,Sun,Allston,Serenity,"Hill Baptist, 279 N. Harvard",7:30 p.m., 
OSD,Sun,Amesbury,Progress,"Progress House, 39 High St.",10-11:15 a.m., 
CD,Sun,Arlington,Just for Today,"St. Camilus, 1175 Concord Tpk",6 a.m. and 7 a.m.,Handicap Yes
C12,Sun,Arlington,How it Works 12&12,"Church of the Savior, 21 Marathon St",5-6 p.m., 
O,Sun,Ashburnham,Naukeag,"Community Church, Rt. 12",6:15 p.m., 
O,Sun,Ashland,Sunday AM,"Community Center , 162 Union St., next to State Park",11 a.m.-12:15, 
O,Sun,Attleboro,Sun AM,"Cameron Bldg., 68 Falmouth St.",10 -11 a.m.,Handicap Yes
OSD,Sun,Attleboro,Principles Before Personalities,"Murray Unit. Ch., Unity Rm., 505 N. Main St.",6-7 p.m., 
OD,Sun,Attleboro,Gift Of Life,"YMCA, 537 Pleasant St.",7:00 p.m., 
CBB,Sun,Bedford,First Things First,"1st. Church of Christ, 25 Great Rd.",6:00 - 6:45 a.m., 
CD,Sun,Bedford, ,"VA Hosp., Main Bldg., 78E, 3rd Fl.",9:30 a.m., 
O,Sun,Belmont,Eye Opener,McLean Hosp. Café.,10:30 a.m.,Handicap Yes
CSD,Sun,Beverly,Early Bird,"White Whale, 9 Hale St.",8-9 a.m., 
O,Sun,Beverly,Second Chance,"White Whale, 9 Hale St.",2 p.m., 
CSD,Sun,Beverly,Second Chance,"White Whale, 9 Hale St.",5:30-6:30 p.m., 
O,Sun,Beverly,North,"Second Cong., Ch., 35 Conant St.",8:00-9:00 p.m.,Handicap Yes
OD,Sun,Billerica,Jekyll + Hyde,"1st Cong. Ch., 18 Andover Rd.",6-7 p.m., 
C12M,Sun,Billerica,Men's Step,"Sober House, 317 Boston Rd.",7:00 p.m., 
OD,Sun,Billerica,Let's Talk,"Comm. Cong'l., 803 Boston Rd.",8 p.m., 
O12,Sun,Boston,Prado Sunday,"Harbor Ch., 9 Salutation St.",9 - 10 am, 
OD#,Sun,Boston,Sun. Morn.,"Lady of Victories, 27 Isabella St.",9:30 - 10:30 a.m., 
ODG,Sun,Boston,Sober Sunday,74 Kilmarnock St.,10:00-11:00 a.m., 
O12#,Sun,Boston,Steps in the City,"Lindemann Center, Boston Rm., 25 Staniford St.",2 p.m.,Handicap Yes
O,Sun,Boston,Park Square,"Morville Hse. Conf. Rm., 100 Norway St.",4:30-5:30 p.m.,Handicap Yes
ODG,Sun,Boston,How Are You Today?,74 Kilmarnock St.,6 p.m., 
O12,Sun,Boston,New Comm.,"M.G.H., Thier 101 Conf. Room",6:00 p.m., 
O,Sun,Boston,Not Forgotten,"Vets shelter, 17 Court St.",6:45-7:45 p.m., 
OD,Sun,Boston,Old Dogs New Tricks,"Sacred Heart Ch., 9 Sun Court",7 p.m., 
O12,Sun,Boston,Out Of The Basement,"Emm. Ch., 15 Newbury St., 2nd Fl. Via ramp",7:30 - 8:45 p.m., 
O,Sun,Braintree,Eye Opener,Thayer Academy H.S. Cafeteria,10 a.m.,yes
OYP,Sun,Braintree,Young People,"St. Clare's, 1244 Liberty St.",7-8 p.m.,Handicap Yes
OD,Sun,Brewster,Grateful Living,"United Methodist, 701 Airline Rd.",7:15-8:15 a.m., 
